,Difference
0,-0.08035882847629827
1,-0.08926257533185245
2,-0.11131323217166589
3,-0.07163314429880685
4,-0.07121771579602887
5,-0.08436462578028847
6,-0.06228470046241108
7,-0.08409783823940442
8,-0.08608778827152308
9,-0.0854628832791483
10,-0.08525662478975726
11,-0.06611381423128415
12,-0.062404379422451584
13,-0.07279177761105471
14,-0.0678645595814269
15,-0.07240469815771011
16,-0.0796168495716687
17,-0.0757592335152576
18,-0.08985591327458786
19,-0.07029767421333677
20,-0.09579097832109884
21,-0.07460197934595525
22,-0.07115825941127141
23,-0.08831326527109651
24,-0.07560967312473321
25,-0.07017891468192672
26,-0.05590447872074367
27,-0.07911223649175458
28,-0.073769743197454
29,-0.09914490072622606
30,-0.06649966777978833
31,-0.09053904874688001
32,-0.06857665705557259
33,-0.0906869235182487
34,-0.06477849738391894
35,-0.07181151345307957
36,-0.10433936601105276
37,-0.06513446950193946
38,-0.06658854588071461
39,-0.07142535342836542
40,-0.08113099528762169
41,-0.07715262760443464
42,-0.08828323060250765
43,-0.0863535031456717
44,-0.07917215259082722
45,-0.08433673644517015
46,-0.07207814775585863
47,-0.09205212179609767
48,-0.09213962075407844
49,-0.08276267463014442
50,-0.07460060020300974
51,-0.07617328287509006
52,-0.07284985485286677
53,-0.06730079659296517
54,-0.08807452030343588
55,-0.08789737705400347
56,-0.06436306888114107
57,-0.07504682956490172
58,-0.06878414144980394
59,-0.07572827941803839
60,-0.07074298414659863
61,-0.07510506004481898
62,-0.08935191314709368
63,-0.07284970161476179
64,-0.09223033771226541
65,-0.06816138179089981
66,-0.06608393280080027
67,-0.07875626437373417
68,-0.08110065414282275
69,-0.06700397438349237
70,-0.0805666193467397
71,-0.07296876762238202
72,-0.08133801996753787
73,-0.08255503699780808
74,-0.06709269924631356
75,-0.0714552348588493
76,-0.07424462808498955
77,-0.07685764425222252
78,-0.06667757721974588
79,-0.08041843809916094
80,-0.0678941345357007
81,-0.07059464966091467
82,-0.07489880155542783
83,-0.0704463151752307
84,-0.09276421927024325
85,-0.06937778586874965
86,-0.07887379800030392
87,-0.06151284012729785
88,-0.08516621430778037
89,-0.06830956303847857
90,-0.10965090520813392
91,-0.07106953454845011
92,-0.07721330989403274
93,-0.07676830643698107
94,-0.07513601414203808
95,-0.08753971931682758
96,-0.06887332602694052
97,-0.09668144494951725
98,-0.07771807621205207
99,-0.09172603110856126
