Obs,CLINIC,YEAR,GENDERSP,TOTAL,Susceptible,TetI,PenI,PenI_TetI,TetR,TetR_PenI,PenR,PenR_TetI,PenR_TetR,CipI_PenI_TetI,TetR_CipI,AziRS_PenI_TetI,CipI_TetI,CipR_PenR_TetR,CipR_PenI_TetI,CipR_TetR_PenI,CipR_PenI,CipR_PenR_TetI,AziRS_CipR_PenR_TetR,PenR_CipI_TetI,PenR_TetR_CipI,CipR_PenR,TetR_CipI_PenI,AziRS_CipR_TetR_PenI,AziRS_TetR_PenI,AziRS_PenR_TetR,AziRS_PenR_TetI,CipI_PenI,CfxRS_CipR_PenR_TetR,CfxRS_PenI_TetI,AziRS,AziRS_TetI,AziRS_PenI,CfxRS_CipI_PenI_TetI,AziRS_CipR_PenI_TetI,CfxRS_TetR_PenI,CipR_TetI,CipI,AziRS_PenR,PenR_CipI,AziRS_TetR_CipI_PenI,CipR,CipR_TetR,AziRS_CipI_PenI_TetI,CfxRS_CipR_TetR_PenI,AziRS_TetR,AziRS_CipR_PenR_TetI,CroRS_CfxRS_CipR_PenR_TetR,CroRS_CfxRS_PenR_TetI,CfxRS_PenR_TetR
1,ALB,2000,MSW,143,10,2,36,68,2,3,5,14,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,ALB,2000,MSM,9,.,.,1,5,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,ALB,2000,MSMW,5,.,.,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,ALB,2000,Oth/Unk/Missing,4,.,1,.,1,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,ALB,2001,MSW,127,12,3,40,57,1,10,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,ALB,2001,MSM,6,.,.,1,4,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7,ALB,2001,MSMW,8,2,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,ALB,2001,Oth/Unk/Missing,6,.,.,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,ALB,2002,MSW,152,18,6,55,62,1,7,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,ALB,2002,MSM,22,.,.,2,15,.,2,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11,ALB,2002,MSMW,4,.,.,1,2,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,ALB,2002,Oth/Unk/Missing,12,1,.,3,7,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13,ALB,2003,MSW,125,22,5,51,38,.,3,.,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14,ALB,2003,MSM,22,3,.,.,16,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,ALB,2003,MSMW,4,.,1,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,ALB,2003,Oth/Unk/Missing,9,1,1,2,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,ALB,2004,MSW,39,17,2,6,13,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18,ALB,2004,MSM,6,4,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19,ALB,2004,MSMW,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,ALB,2004,Oth/Unk/Missing,7,.,.,.,6,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21,ALB,2005,MSW,62,7,5,23,22,.,1,.,.,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
22,ALB,2005,MSM,15,1,2,3,5,1,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23,ALB,2005,MSMW,6,.,2,.,2,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24,ALB,2005,Oth/Unk/Missing,5,1,2,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
25,ALB,2006,MSW,121,6,5,45,57,.,4,.,.,1,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,ALB,2006,MSM,20,.,1,4,7,.,2,.,.,.,.,.,.,.,4,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
27,ALB,2006,MSMW,3,.,.,1,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
28,ALB,2006,Oth/Unk/Missing,7,.,.,1,5,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
29,ALB,2007,MSW,128,11,2,45,49,.,5,.,.,2,.,.,.,.,8,1,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
30,ALB,2007,MSM,13,.,.,4,3,.,.,.,.,.,.,.,.,.,4,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31,ALB,2007,MSMW,11,.,.,2,2,.,1,.,.,.,.,.,.,.,5,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
32,ALB,2007,Oth/Unk/Missing,4,.,.,.,3,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
33,ALB,2008,MSW,83,20,6,25,21,.,2,.,3,.,.,.,.,.,2,1,2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
34,ALB,2008,MSM,12,3,.,2,1,.,3,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
35,ALB,2008,MSMW,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
36,ALB,2008,Oth/Unk/Missing,6,.,.,3,1,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
37,ALB,2009,MSW,72,.,.,52,8,.,2,.,6,2,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
38,ALB,2009,MSM,13,.,.,7,2,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
39,ALB,2009,MSMW,7,.,.,2,2,.,1,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
40,ALB,2009,Oth/Unk/Missing,4,.,.,3,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
41,ALB,2010,MSW,67,.,.,44,12,.,.,.,5,2,.,.,.,.,2,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
42,ALB,2010,MSM,28,.,.,2,5,.,2,.,1,.,.,.,.,.,12,1,.,.,.,2,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
43,ALB,2010,MSMW,8,.,.,1,.,.,.,.,.,.,.,.,.,.,6,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
44,ALB,2010,Oth/Unk/Missing,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
45,ALB,2011,MSW,108,.,.,63,10,.,6,.,7,4,.,.,.,.,9,2,1,.,.,.,.,5,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
46,ALB,2011,MSM,34,.,.,7,7,.,2,.,.,.,.,.,.,.,12,2,3,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
47,ALB,2011,MSMW,7,.,.,.,1,.,1,.,.,1,.,.,.,.,3,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
48,ALB,2011,Oth/Unk/Missing,3,.,.,2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
49,ALB,2012,MSW,101,.,.,42,12,.,14,.,9,5,.,.,.,.,9,1,1,.,1,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
50,ALB,2012,MSM,36,.,.,6,10,.,11,.,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
51,ALB,2012,MSMW,10,.,.,3,1,.,1,.,.,.,.,.,.,.,3,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
52,ALB,2012,Oth/Unk/Missing,5,.,.,2,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
53,ALB,2013,MSW,88,.,.,39,28,.,5,.,2,1,.,.,.,.,4,5,1,1,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
54,ALB,2013,MSM,40,.,.,8,19,.,2,.,1,1,.,.,.,.,3,2,3,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
55,ALB,2013,MSMW,10,.,.,4,2,.,.,.,1,.,.,.,.,.,1,.,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
56,ALB,2013,Oth/Unk/Missing,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
57,ALB,2014,MSW,73,.,.,31,26,.,3,.,6,.,.,.,.,.,.,3,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
58,ALB,2014,MSM,33,.,.,10,18,.,1,.,1,.,.,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
59,ALB,2014,MSMW,7,.,.,3,3,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
