,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
MSM,0,0,0,0,0,0,0.02782517878637686,0.02312456016889517,0.018310133531682805,0.027686126715494596,0.03686928957672947,0.02448865820838141,0.02770480776039087,0.025622800844475768,0.023683278433039377,0.02036905354476286,0.024944993473801958,0.023554402153018072
MSMW,0,0,0,0,0,0,0.004508602988033739,0.002294159042927524,0.0033861084546452868,0.0045953921638342225,0.004782770837217998,0.0033929257977700967,0.002623380301635636,0.002582688247712861,0.002771579357489495,0.0026363507075303884,0.0030766362110758783,0.0028854286812764474
MSW,0,0,0,0,0,0,0.01636868937194651,0.030219915552427923,0.033243013494846464,0.021572566308753503,0.028502703710609756,0.023712033833141122,0.03589180768958439,0.042807881773399024,0.0429532816207984,0.049258693024248026,0.050505314189819114,0.04884467512495193
Oth/Unk/Missing,0,0,0,0,0,0,0.00018055653897903757,0.00025510204081636846,0.0002266850848298141,-0.0002613240418118057,0.00046429237367148215,0.0002941176470588225,0.0005186575090278644,0.0004802955665024755,0.000368363262848459,0.0004177629239849101,0.0011486108521349902,0.0013456362937331768
Northeast,0,0,0,0,0,0,0.003345606457551542,0.0011330049261084052,0.001016540927283671,0.0015359453886084284,0.0005743054260675228,-0.0003902345251826422,6.726616158039266e-05,4.398311048559034e-05,0.00031169199164102766,0.0005510915167460717,0.0005426067499533893,0.0009630911188004632
Southeast,0,0,0,0,0,0,0.0008284358847270634,0.0004099225897255754,0.0016222151383133432,0.0009475218658892559,0.005578966996084322,0.004915417147251066,0.00038589534801392045,0.0002533427163969204,0.00021251726702798958,0.0001475503093223307,0.0005295543539063696,0.0008688965782391311
Southwest,0,0,0,0,0,0,0.0023224527366707106,0.000897255453905721,0.0004657670102362732,0.0002755457583730636,6.153272422154688e-05,0.0006997308727412666,3.540324293704877e-05,1.4074595355406672e-05,0.00025147876598311523,2.666571855222122e-05,0.0010385977997389383,0.001186082276047662
West,0,0,0,0,0,0,0.02304751115202156,0.014510907811400464,0.006885559451705469,0.0017101614164830136,0.009097520044751095,0.004817377931564793,0.007261205126389581,0.0024806474313863623,0.0006499486416605027,0.0004497617862475933,0.001053514823792634,0.0019204152249135075
Midwest,0,0,0,0,0,0,0.003554485590880152,0.0023891625615763967,0.002431551730244774,0.0011999573348503655,0.001644601901920595,2.3068050749719406e-05,0.0009151738299228218,0.0002779732582688377,0.00025856267488403304,0.0006204223849818668,0.0017564795823233116,0.0014552095347942994
PREV_REGION,0,0,0,0,0,0,0.011268852226864013,0.0379134412385644,0.0429284879396451,0.01726338619071325,0.025558456088010474,0.013748558246828158,0.005418466331515981,0.006764602392681207,0.0050313462968866515,0.014129275403541208,0.01295357076263286,0.009192618223760097
PREV_CLINIC,0,0,0,0,0,0,0.01898144870070102,0.019329697396199896,0.0416941168136578,0.058024603569650876,0.06368450494126424,0.05291618608227605,0.06648552007363875,0.060103800140745955,0.047821698012963584,0.05096529901159068,0.05646093604325934,0.060086505190311425
DELTA_REGION,0,0,0,0,0,0,0.15551051476315234,0.01673997185080932,0.004505366060992477,0.005150039109720572,0.004122692522841698,0.004994232987312575,0.020657792253770468,0.00834447572132302,0.004836538802111034,0.001727938562184428,0.003132575051277253,0.0037024221453287208
DELTA_CLINIC,0,0,0,0,0,0,0.09017028959852726,0.08347994370161861,0.08691247830552902,0.04720721041029656,0.03136304307290699,0.02979046520569012,0.033238334631452246,0.02445109078114006,0.03219990790918433,0.024041811846689888,0.014752936789110572,0.020692041522491357
Count_Exceeds_75,0,0,0,0,0,0,0.004662607094809923,0.0004028852920478831,3.719052172990178e-05,0.0009777430135817777,0.0005127727018460094,0.000865051903114189,0.004138639099341546,0.00022871217452500315,0.0001345942691177493,0.001167958472587638,0.0007533097147119028,0.001191849288735103
Trend_N_greater_75,0,0,0,0,0,0,0.0024888479784748617,0.0007987332864180519,0.0006729713455885244,0.000526203512764023,0.0006339735222823384,0.0003287197231833905,0.00010266940451744144,0.0006931738212526351,0.00023731094818124632,0.00031110004977599195,0.00022375536080551094,0.00033448673587082033
